id	name	mass [g/mol]	latitude [rad]	longitude [rad]
Top
514	C	12.011	0.6032799981505391	0.8494851840651253
515	C2	24.022	0.24750764549087856	1.789043328608827
516	C2	24.022	0.6709943842048578	0.41657336149267465
517	C2	24.022	0.12551432696942605	1.4950069280322145
518	C	12.011	0.09715949401784785	-2.506021431834198
519	C2	24.022	0.257934390627433	-0.19867253072444024
520	C	12.011	0.6556073337315667	-2.486023805952027
521	C	12.011	0.24554556127148194	-1.9332477922826867
522	C	12.011	0.978587577661294	-0.9043480018632448
523	C2	24.022	0.5049438016738033	-1.3952693021323255
524	C2	24.022	0.506481951377774	-2.376495196788276
525	C2	24.022	0.3735499482000648	2.6000350776993377
526	C2	24.022	0.7506333535559232	-2.6778828272228874
527	C3	36.033	0.06810677796479107	1.1756302499296176
529	C2	24.022	0.5886537465427748	3.0464995874211196
530	C2	24.022	0.18232016420104788	-0.40034831143612176
531	C2	24.022	0.9072457853438513	-2.7762343927640862
532	C2	24.022	0.19256829525774707	-2.2298025941220136
533	C2	24.022	0.38761817669713766	-0.4914601842758582
534	C2	24.022	0.07356865084498326	-0.2350812342706939
535	C2	24.022	0.1762274283164462	-0.39396980261319475
536	C3	36.033	0.17230476707558717	1.1637906379485232
537	C	12.011	0.13016075162426471	-1.3022138504520429
538	C3	36.033	0.24804255284690174	-0.10622490954902405
539	C2	24.022	0.15322161519510777	-1.231718660880464
540	C	12.011	0.23961750046441652	0.02644346411664812
541	C2	24.022	0.2219722896866799	1.2255821316387305
542	C	12.011	0.3197893263616882	1.555059327400544
543	C2	24.022	0.1404743199427934	-2.857289174528319
544	C	12.011	0.2695271235145306	-2.4776336506654
545	C2	24.022	0.038431106566112504	0.8262128948152442
546	C	12.011	0.2150902990247724	-1.5626056212442347
547	C2	24.022	0.16658015031642798	2.207221764515491
548	C2	24.022	0.3570384782455544	-2.9587265715663853
549	C2	24.022	0.08737958835590419	1.7425859574598395
550	C	12.011	0.5876923074925083	1.026310183601138
551	C	12.011	0.2127398967212175	0.07442991445061432
552	C2	24.022	0.18283239294318498	-0.11443081595655821
553	C2	24.022	0.09836445042170129	-1.5915431075450746
554	C2	24.022	0.14520446335361942	-1.6017025238169433
555	C2	24.022	0.06496461258365747	2.4206123055143576
556	C2	24.022	0.27125231554029006	1.5413729702036965
557	C2	24.022	0.10406964552891056	1.3066765527246713
558	C	12.011	0.21544233243482525	-3.100960159872222
Bottom
