id	name	mass [g/mol]	latitude [rad]	longitude [rad]
Top
2218	C184189	2212294.078996646	0.7780730756810216	-1.2849848864741114
2219	C2	24.022	1.4353318110330604	-0.04449608500883049
2220	C2	24.022	0.8846336771188901	0.28973194345225467
2221	C2	24.022	0.4676497488673695	-2.3008797327914006
2222	C2	24.022	1.1440747022641458	-0.23620231413282133
2223	C2	24.022	0.36854728914957946	1.478459104367069
2224	C2	24.022	0.7433646514441009	-0.549348200560811
2225	C2	24.022	1.1192185679037667	-2.2195983608986065
2226	C3	36.033	0.8033773081776552	-2.00221660076355
2227	C3	36.033	0.3679774372123704	-2.163265592120301
2228	C3	36.033	0.35856552848454604	3.051162627405536
2229	C2	24.022	0.21178073598084726	-1.8976676683295286
2230	C3	36.033	0.15110326679717875	0.19202252720216467
2231	C2	24.022	1.537161914133112	-2.787278295175284
2232	C2	24.022	0.290936807054052	-2.534804425709896
2233	C3	36.033	1.1817273904754435	-1.5027897999701092
2234	C3	36.033	1.0580694259405414	2.7785511796054454
2235	C2	24.022	0.7220601200320047	-2.364789627441036
2236	C3	36.033	0.11168198319487137	-1.2589584078382325
2237	C2	24.022	0.6853530882262044	-0.5590333571162194
2238	C2	24.022	0.6190626944953687	3.1157240364208736
2239	C	12.011	0.5019225372369301	-2.452926834447252
2240	C	12.011	0.5904149405656051	-1.1845751108359355
2241	C2	24.022	0.07089304514410698	-3.01662952524609
2242	C	12.011	0.7121337996452536	-1.7092503907670265
2243	C	12.011	0.8875693112972871	-0.6745497789421282
2244	C	12.011	0.5575124782544083	-1.4632970479323641
2245	C2	24.022	0.5266891113945964	0.35292349498413517
2246	C2	24.022	0.4994958231157094	-1.3403221747084715
2247	C2	24.022	0.42899209657723447	2.044343004426328
2248	C2	24.022	0.6553042362432625	-0.4547606855515713
2249	C	12.011	0.8213674875980169	0.6767153564750237
2250	C2	24.022	0.4990082497691204	0.6155152886477571
2251	C2	24.022	0.5684853023927452	1.1915110248055367
2252	C	12.011	0.06834787405604165	2.451817020613211
2253	C2	24.022	0.38763017497965374	0.7704801093143647
2254	C	12.011	0.507286582420834	2.708376444681757
2255	C2	24.022	0.2903208712134714	-2.9236573313741214
2256	C2	24.022	0.5853374533743858	-1.2463094902993672
2257	C2	24.022	0.29833960330813153	1.696598589794705
2258	C2	24.022	0.33224829016400736	-1.720574752066921
2259	C2	24.022	0.2481005896885065	-0.3671588233733954
2260	C	12.011	0.13628906765724041	-2.0029137572053415
2261	C2	24.022	0.2855124218197377	-1.051395809873358
2262	C2	24.022	1.3399839988991302	0.6716391158670184
2263	C	12.011	0.6726219316847114	-0.5330952453965486
2264	C2	24.022	0.16401422758832163	-0.6045596845443305
2265	C2	24.022	0.2899379759483185	-0.43905566555341813
2266	C	12.011	0.2637699532886637	0.7533211247335516
2267	C2	24.022	0.3008999839189974	1.9817093766161102
2268	C2	24.022	0.09094327584027329	0.08398894984100429
2269	C	12.011	0.6360192480110837	0.798260258708944
2270	C2	24.022	0.31283589304234116	-1.364110861759255
2271	C2	24.022	0.5101620503161688	-1.137245340254658
2272	C	12.011	0.6424304772920788	-1.0336151966984444
2273	C2	24.022	0.3416950269359242	-2.5617603112881926
2274	C	12.011	0.8187414857143042	0.7991394651190851
2275	C2	24.022	0.36542730615910757	1.5472689596577245
2276	C2	24.022	0.29026248004318705	0.3952416171223176
2277	C2	24.022	1.4951126907997565	0.7559132628557904
2278	C2	24.022	1.3638349578097875	-0.1615260470157481
2279	C	12.011	0.6908416513757448	-3.138015311859568
2280	C2	24.022	0.2500074913531163	2.2140145019001207
2281	C2	24.022	0.22836985999004095	1.433259602014396
2282	C2	24.022	0.17729003236753121	0.8118296792759767
2283	C	12.011	0.4891146703577534	-2.727918155013769
2284	C2	24.022	1.082477700208102	2.516043756098511
2285	C2	24.022	0.6846837814221123	1.258414027874004
2286	C	12.011	0.5724120296902936	1.1613546456776518
2287	C3	36.033	0.6426515921220592	0.7593861433872385
2288	C2	24.022	0.2256080381881906	-0.789854413129394
2289	C2	24.022	0.38645610246933504	-2.958363161803353
2290	C2	24.022	0.8724985857051977	-1.0323089236059273
2291	C2	24.022	0.7793414962646602	-2.3628753839995027
2292	C2	24.022	0.7584083196191359	1.466188213224801
2293	C3	36.033	0.6866424903865498	0.8847202802354631
2294	C2	24.022	0.4524192027605954	1.5989981486321472
2295	C2	24.022	0.046833850321804336	-2.5047493947248163
2296	C2	24.022	0.43404712919600424	2.928581581723846
2297	C2	24.022	0.26375222681829796	-0.3062414240898475
2298	C2	24.022	0.30933698540656906	-0.9813285149916954
