Total	Internal	Translational
Top
464.510264393	7.67199567277e-30	464.510264393
1258.8845486	6.82313471013	1252.06141389
459.853515013	1.91799891819e-30	459.853515013
81.6550439979	1.19874932387e-31	81.6550439979
155.078339609	0.0	155.078339609
590.714087235	0.0	590.714087235
487.611303222	1.19874932387e-31	487.611303222
615.674451803	4.79499729548e-31	615.674451803
1004.38940088	8.80108697	995.588313909
348.281934898	0.0	348.281934898
680.619183776	1.91799891819e-30	680.619183776
200.783083903	0.0	200.783083903
246.497602769	0.0	246.497602769
165.951708008	0.0	165.951708008
1245.68361494	10.4960383765	1235.18757657
521.165917729	0.0	521.165917729
1218.22261256	1.75360961401	1216.46900295
334.045875205	0.0	334.045875205
1259.32879048	3.07437582768	1256.25441465
201.151382313	0.0	201.151382313
1234.91140053	6.61720280478	1228.29419773
615.475689293	0.0	615.475689293
579.080563083	4.81372775366e-31	579.080563083
1088.32971772	1.66331018307	1086.66640753
613.67048296	7.49218327419e-33	613.67048296
1129.00572596	0.0962284589995	1128.9094975
492.713647613	7.70196440586e-30	492.713647613
558.235768308	1.19874932387e-31	558.235768308
344.781885884	0.0	344.781885884
375.234676674	1.19874932387e-31	375.234676674
731.779344846	0.0	731.779344846
656.046733346	0.0	656.046733346
200.793712463	0.0	200.793712463
637.572588248	0.0	637.572588248
71.9524063305	0.0	71.9524063305
374.58105359	7.67199567277e-30	374.58105359
66.7113131001	0.0	66.7113131001
748.319482431	0.0	748.319482431
284.602044366	0.0	284.602044366
315.536766197	0.0	315.536766197
864.515736724	0.0	864.515736724
1877.45703284	1.30267105271	1876.15436179
253.407607137	2.99687330967e-32	253.407607137
1298.36145193	5.54980194258	1292.81164999
1323.75958265	2.88655126978	1320.87303138
510.417639011	0.0	510.417639011
695.261918398	0.0	695.261918398
752.014759675	0.0	752.014759675
438.848002191	1.91799891819e-30	438.848002191
602.004985753	9.58999459096e-30	602.004985753
578.341889617	5.99374661935e-31	578.341889617
577.631235785	7.67199567277e-30	577.631235785
634.800820664	7.67948785604e-30	634.800820664
521.00198758	0.0	521.00198758
1176.66517114	0.699919197608	1175.96525195
584.226805704	7.67199567277e-30	584.226805704
536.214813001	1.19874932387e-31	536.214813001
1168.24774482	1.80540756395	1166.44233725
713.726791322	0.0	713.726791322
559.493323666	0.0	559.493323666
465.192369315	7.67199567277e-30	465.192369315
Bottom
